,prelim.household,prelim.gender,hh.Pesticide,hh.SMP,hh.wealth1,base.attitudes,base.dnorms,base.innorms,base.control,base.intention,follow.event_attendance,follow.attitudes,follow.dnorms,follow.innorms,follow.control,follow.intention,final.attitudes,final.dnorms,final.innorms,final.control,final.intention,follow.pledge,follow.story,follow.hotline,final.pledge,final.story,final.hotline,agemod,Base,indeg1,avgAlt1,avgAlt2,avgAlt3,avgAlt4,avgAlt5,avgAlt6
1,149,0,0,0,4,17,6,15,10,7,0,15,7,16,12,8,13,6,10,9,6,0,0,0,0,0,0,1.942196507,1,5,NA,9,6.666666667,NA,16,14.66666667
2,120,0,0,1,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,2,NA,8,8,NA,15,14
3,137,1,1,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456647381,0,1,6.5,7.666666667,6,15,15.66666667,15.5
4,71,0,0,0,4,16,6,12,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15028899,1,2,7,9,6,13.5,16,17
5,129,0,0,0,4,14,6,16,10,8,0,10,6,10,8,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.15028899,1,5,6.5,6.5,6,14,13.75,15
6,39,1,0,0,2,13,6,13,10,6,0,14,8,9,8,8,17,8,16,10,8,0,0,0,0,0,0,4.99421959,1,2,8.5,9.333333333,7,16.5,16.33333333,14
7,124,1,0,0,5,16,6,15,12,9,0,14,6,14,10,8,17,8,10,12,9,0,0,0,0,0,0,1.38728322,1,1,7.5,6.5,7.333333333,16.25,14,14.33333333
8,101,0,0,0,2,NA,NA,NA,NA,NA,0,17,6,13,12,8,16,5,17,12,9,0,0,0,0,0,0,1.595375702,0,2,NA,NA,NA,NA,NA,NA
9,125,1,0,0,3,NA,NA,NA,NA,NA,0,16,6,14,10,8,14,6,17,11,9,0,0,0,0,1,1,3.260115566,0,3,8,8.5,6,16.33333333,15.5,13
10,63,0,0,0,2,NA,NA,NA,NA,NA,0,17,6,16,13,9,17,6,16,12,10,0,0,0,0,0,0,3.329479727,0,8,8,8.8,8,15.5,14.8,15.75
11,155,0,0,0,5,NA,NA,NA,NA,NA,0,15,7,12,9,8,18,8,15,10,10,0,0,0,0,0,0,4.092485498,0,6,6,8,6,15,16,13
12,80,1,1,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.774566439,0,4,5,7.333333333,6.5,13,13.66666667,15
13,136,1,1,0,4,14,6,12,12,6,0,12,6,12,10,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.734104024,1,1,6.5,4,6,15,15,15
14,103,1,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.121387244,0,14,9,9.333333333,7.5,15.33333333,17.33333333,14.5
15,100,0,0,0,4,16,6,13,12,9,0,16,6,14,9,8,17,6,14,10,9,0,0,0,0,0,0,3.329479727,1,5,8.8,8.833333333,8.333333333,14.8,15.66666667,14.33333333
16,104,1,0,0,4,NA,NA,NA,NA,NA,0,16,6,14,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.15028899,0,8,NA,9.5,8,NA,18,16
17,73,1,0,0,4,16,8,15,11,9,1,13,8,13,8,10,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,2.635838117,1,5,7.333333333,8.5,7,14.66666667,16,15
18,89,0,0,0,3,NA,NA,NA,NA,NA,0,14,4,9,11,6,20,10,12,13,7,0,0,0,0,0,0,3.121387244,0,0,NA,10,10,NA,19,20
19,125,1,0,0,3,14,8,12,9,7,0,16,6,13,11,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.248554898,1,4,8,8.5,7.5,18,15.5,13.5
20,26,0,1,0,5,17,8,18,10,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,1,3,9,8.333333333,9,19,13.66666667,16
21,39,0,0,0,2,18,6,12,8,8,0,16,6,16,10,8,15,6,15,9,6,0,0,0,0,5,0,2.011560668,1,2,7.5,8,8.333333333,14,14.75,16
22,67,0,0,0,5,NA,NA,NA,NA,NA,0,14,6,18,10,10,12,6,12,9,6,0,0,0,0,0,0,2.982658922,0,10,8.25,7,8,15.75,16,13.66666667
23,12,0,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38728322,0,5,7,9.166666667,7,13,15.83333333,15.5
24,91,1,0,0,4,NA,NA,NA,NA,NA,0,18,9,18,13,5,19,9,16,14,10,1,0,0,0,0,0,3.190751405,0,7,10,5.5,7.5,17,11,18
25,12,0,0,0,3,NA,NA,NA,NA,NA,0,13,5,13,10,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.872832346,0,9,7,8,6,15.5,14.66666667,13
26,12,0,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.526011542,0,5,NA,8.333333333,NA,NA,14,NA
27,23,0,0,1,4,16,6,13,12,8,0,15,6,15,12,8,20,9,14,13,6,0,0,1,2,0,2,1.595375702,1,11,NA,8.666666667,9,NA,16.33333333,17.25
28,52,0,0,0,3,15,6,16,12,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.219653151,1,7,8,8.25,8.666666667,14.6,14.75,16.66666667
29,13,0,0,0,4,18,8,15,11,10,1,15,5,18,14,10,14,7,17,12,7,3,2,3,2,4,3,2.774566439,1,5,7.333333333,8.571428571,8.2,15,15.57142857,17.8
30,28,0,0,1,4,17,6,12,9,9,0,17,6,16,15,10,15,8,17,12,8,0,0,0,0,0,0,2.982658922,1,8,9,8.8,8.5,16.5,15.6,18.16666667
31,29,0,1,0,3,NA,NA,NA,NA,NA,0,14,6,11,11,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.566473956,0,10,9,8.75,7.6,17,15.5,15.2
32,23,0,0,1,4,NA,NA,NA,NA,NA,0,16,5,12,12,8,20,10,12,15,10,3,4,2,1,5,3,1.38728322,0,5,8,8,8,16.5,15.2,16.6
33,44,0,1,0,4,17,6,15,12,9,0,16,6,15,10,8,16,6,15,12,6,0,0,0,1,5,2,2.080924829,1,1,9,9,7,14,15,14
34,42,0,0,1,3,NA,NA,NA,NA,NA,1,15,6,11,11,9,NA,NA,NA,NA,NA,2,5,0,NA,NA,NA,5.063583751,0,3,7.5,8.75,7,15,16.25,15.66666667
35,33,1,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.190751405,0,3,7.75,7.5,7.4,16.75,15.375,16.2
36,121,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.982658922,0,3,7,8.5,9,13,15,16.5
37,79,1,0,0,3,NA,NA,NA,NA,NA,0,10,2,5,6,2,13,5,8,9,4,0,0,0,0,0,0,2.427745634,0,3,9,8.25,6,14.5,16,14.66666667
38,92,1,0,0,3,17,6,15,13,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.872832346,1,3,8,6.5,10,17,17,19.5
39,134,0,0,1,4,11,6,8,5,4,1,16,5,11,8,7,16,6,12,8,8,2,4,2,0,5,2,2.289017312,1,3,6.5,4,6,13,11.33333333,13.5
40,34,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15028899,0,2,NA,9,7,NA,15.25,16
41,33,0,0,0,5,NA,NA,NA,NA,NA,0,14,7,13,12,8,16,6,11,11,6,0,0,0,0,0,0,1.734104024,0,7,4,9.333333333,6,14,15.33333333,17
42,25,1,1,0,5,11,6,12,11,4,0,15,6,16,12,10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.289017312,1,8,8,6,8,17,14.75,15.75
43,83,0,1,1,4,NA,NA,NA,NA,NA,0,14,9,17,11,9,15,8,16,12,9,0,0,0,0,0,0,1.803468185,0,4,NA,8.333333333,7.333333333,NA,14.66666667,16.33333333
44,26,0,1,0,5,NA,NA,NA,NA,NA,0,14,6,12,9,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.15028899,0,6,7,8.5,8,15.66666667,13.75,14.66666667
45,26,0,1,0,5,NA,NA,NA,NA,NA,0,12,8,14,12,8,16,7,14,9,8,0,1,2,0,0,0,1.803468185,0,4,8.5,8.25,7.666666667,18,14,14.33333333
46,1,0,0,0,4,NA,NA,NA,NA,NA,0,13,6,11,8,7,12,5,12,7,6,0,0,0,0,0,0,2.566473956,0,7,6,8.166666667,8,14,14.83333333,15
47,26,1,1,0,5,19,10,16,14,9,0,15,6,15,15,9,16,8,13,12,10,0,0,1,0,0,0,1.456647381,1,3,6,8.4,7.666666667,14,13.6,14.33333333
48,76,0,1,1,2,NA,NA,NA,NA,NA,0,16,6,13,12,7,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.566473956,0,5,8,7.8,4.333333333,16,14.8,14.33333333
49,130,0,0,0,3,NA,NA,NA,NA,NA,0,17,6,17,13,9,17,9,12,11,6,0,0,0,1,0,0,3.468208049,0,7,8,5.666666667,6,13,13,13.5
50,6,1,1,0,4,NA,NA,NA,NA,NA,1,15,6,15,14,10,20,6,16,12,10,3,5,2,3,5,2,3.676300532,0,8,8.5,9.5,7.6,16,16,15.8
51,125,0,0,0,3,18,6,17,12,8,1,15,6,18,13,9,13,6,12,12,6,3,5,2,3,4,1,3.190751405,1,6,8,8,9,15.5,16,14
52,14,0,0,0,2,13,7,15,8,6,0,14,6,16,12,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,3.468208049,1,4,8,9,9,16,14.5,15
