,prelim.household,prelim.gender,prelim.age,hh.wealth1,hh.SMP,hh.Pesticide,base.control,base.attitudes,base.dnorms,base.innorms,base.intention,follow.control,follow.attitudes,follow.dnorms,follow.innorms,follow.intention,final.control,final.attitudes,final.dnorms,final.innorms,final.intention,follow.event_attendance,base.hotline,follow.hotline,final.hotline,base.story,follow.story,final.story,base.pledge,follow.pledge,final.pledge,base.Knowledge,follow.Knowledge,final.Knowledge,ID,Base
1,149,0,28,4,0,0,10,17,6,15,7,12,15,7,16,8,9,13,6,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,120,0,18,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,0
3,137,1,21,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,0
4,129,0,31,4,0,0,10,14,6,16,8,8,10,6,10,4,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,4,1
5,71,0,31,4,0,0,8,16,6,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,5,1
6,39,1,72,2,0,0,10,13,6,13,6,8,14,8,9,8,10,17,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
7,NA,NA,NA,NA,NA,NA,12,15,6,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7,1
8,NA,NA,NA,NA,NA,NA,14,17,9,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8,1
9,124,1,20,5,0,0,12,16,6,15,9,10,14,6,14,8,12,17,8,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
10,101,0,23,2,0,0,NA,NA,NA,NA,NA,12,17,6,13,8,12,16,5,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
11,125,1,47,3,0,0,NA,NA,NA,NA,NA,10,16,6,14,8,11,14,6,17,9,0,0,0,1,0,0,1,0,0,0,0,0,2,11,0
12,63,0,48,2,0,0,NA,NA,NA,NA,NA,13,17,6,16,9,12,17,6,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
13,155,0,59,5,0,0,NA,NA,NA,NA,NA,9,15,7,12,8,10,18,8,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
14,80,1,40,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,14,0
15,136,1,25,4,0,1,12,14,6,12,6,10,12,6,12,6,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,15,1
16,100,0,48,4,0,0,12,16,6,13,9,9,16,6,14,8,10,17,6,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
17,104,1,31,4,0,0,NA,NA,NA,NA,NA,10,16,6,14,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,17,0
18,73,1,38,4,0,0,11,16,8,15,9,8,13,8,13,10,NA,NA,NA,NA,NA,1,0,3,NA,0,3,NA,0,3,NA,0,9,NA,18,1
19,103,1,45,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19,0
20,89,0,45,3,0,0,NA,NA,NA,NA,NA,11,14,4,9,6,13,20,10,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
21,125,1,18,3,0,0,9,14,8,12,7,11,16,6,13,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,21,1
22,67,0,43,5,0,0,NA,NA,NA,NA,NA,10,14,6,18,10,9,12,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
23,39,0,29,2,0,0,8,18,6,12,8,10,16,6,16,8,9,15,6,15,6,0,0,0,0,0,0,5,0,0,0,0,0,5,23,1
24,12,0,20,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,24,0
25,91,1,46,4,0,0,NA,NA,NA,NA,NA,13,18,9,18,5,14,19,9,16,10,0,0,0,0,0,0,0,0,1,0,0,1,0,25,0
26,NA,NA,NA,NA,NA,NA,14,19,6,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,26,1
27,NA,NA,NA,NA,NA,NA,11,19,5,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,27,1
28,12,0,27,3,0,0,NA,NA,NA,NA,NA,10,13,5,13,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,28,0
29,44,0,30,4,0,1,12,17,6,15,9,10,16,6,15,8,12,16,6,15,6,0,0,0,2,0,0,5,0,0,1,0,0,8,29,1
30,12,0,22,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,30,0
31,23,0,23,4,1,0,12,16,6,13,8,12,15,6,15,8,13,20,9,14,6,0,0,1,2,0,0,0,0,0,2,0,1,4,31,1
32,52,0,32,3,0,0,12,15,6,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,32,1
33,13,0,40,4,0,0,11,18,8,15,10,14,15,5,18,10,12,14,7,17,7,1,0,3,3,0,2,4,0,3,2,0,8,9,33,1
34,28,0,43,4,1,0,9,17,6,12,9,15,17,6,16,10,12,15,8,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
35,29,0,37,3,0,1,NA,NA,NA,NA,NA,11,14,6,11,6,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,35,0
36,23,0,20,4,1,0,NA,NA,NA,NA,NA,12,16,5,12,8,15,20,10,12,10,0,0,2,3,0,4,5,0,3,1,0,9,9,36,0
37,42,0,73,3,1,0,NA,NA,NA,NA,NA,11,15,6,11,9,NA,NA,NA,NA,NA,1,0,0,NA,0,5,NA,0,2,NA,0,7,NA,37,0
38,33,1,46,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,38,0
39,121,1,43,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,39,0
40,79,1,35,3,0,0,NA,NA,NA,NA,NA,6,10,2,5,2,9,13,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
41,92,1,27,3,0,0,13,17,6,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,41,1
